Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop v. 14.1.1.41 - 2010-02-12	 	 
Decimal Symbol:	.	 	 
Date Format:	yyyy/M/d	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	16384	 	 
X-Axis unit:	s	 	 
X-Axis first value:	 0.0000000000e+000	 	 
X-Axis delta:	 1.9531250000e-005	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa/s	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
CenterFrequency:	 1.0000000000e+004	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	0	 	 
Function:	Impulse Response	 	 
	 	 	 
InputRange:	 7.0711000000e+000	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 3.2000000000e-001	 	 
	 	 	 
Ref_Signal:	Signal 2	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	Signal 3	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Impulse Response h1(Signal 3,Signal 2) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	2019/9/21	 
Time:	 	14:21:08:961	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 0.0000000000e+000	 1.17819e+000	 6.16195e-001
2	 1.9531250000e-005	 5.67118e-001	 4.89076e-001
3	 3.9062500000e-005	 8.12273e-001	 1.67530e-001
4	 5.8593750000e-005	 8.94629e-001	 2.76407e-001
5	 7.8125000000e-005	 9.17184e-001	 3.49950e-001
6	 9.7656250000e-005	 8.62326e-001	 3.27695e-001
7	 1.1718750000e-004	 9.14620e-001	 4.97726e-001
8	 1.3671875000e-004	 5.39875e-001	 3.70454e-001
9	 1.5625000000e-004	 8.61473e-001	 7.35541e-002
10	 1.7578125000e-004	 9.82565e-001	 3.29842e-001
11	 1.9531250000e-004	 8.95400e-001	 5.12570e-001
12	 2.1484375000e-004	 5.07818e-001	 3.47180e-001
13	 2.3437500000e-004	 9.19259e-001	-2.17680e-002
14	 2.5390625000e-004	 1.03161e+000	 3.97313e-001
15	 2.7343750000e-004	 8.77241e-001	 3.55305e-001
16	 2.9296875000e-004	 8.68736e-001	 3.38714e-001
17	 3.1250000000e-004	 1.00200e+000	 3.30545e-001
18	 3.3203125000e-004	 8.70715e-001	 4.78115e-001
19	 3.5156250000e-004	 9.81240e-001	 3.26686e-001
20	 3.7109375000e-004	 9.21202e-001	 6.07952e-001
21	 3.9062500000e-004	 8.23842e-001	 3.81920e-001
22	 4.1015625000e-004	 9.73435e-001	 5.20577e-001
23	 4.2968750000e-004	 8.85338e-001	 5.70461e-001
24	 4.4921875000e-004	 7.35385e-001	 6.01270e-001
25	 4.6875000000e-004	 8.76912e-001	 3.48633e-001
26	 4.8828125000e-004	 9.52223e-001	 7.66054e-001
27	 5.0781250000e-004	 6.18420e-001	 5.39739e-001
28	 5.2734375000e-004	 8.76939e-001	 6.06769e-001
29	 5.4687500000e-004	 5.94830e-001	 6.00739e-001
30	 5.6640625000e-004	 7.99518e-001	 4.74141e-001
31	 5.8593750000e-004	 7.49173e-001	 6.18548e-001
32	 6.0546875000e-004	 7.13936e-001	 6.29308e-001
33	 6.2500000000e-004	 6.06172e-001	 5.32387e-001
34	 6.4453125000e-004	 8.36659e-001	 5.40080e-001
35	 6.6406250000e-004	 6.15181e-001	 7.72178e-001
36	 6.8359375000e-004	 4.93079e-001	 4.75285e-001
37	 7.0312500000e-004	 7.47212e-001	 4.10716e-001
38	 7.2265625000e-004	 8.22211e-001	 6.64412e-001
39	 7.4218750000e-004	 5.48983e-001	 6.81083e-001
40	 7.6171875000e-004	 6.84471e-001	 5.20087e-001
41	 7.8125000000e-004	 6.18617e-001	 7.39415e-001
42	 8.0078125000e-004	 4.89812e-001	 5.26020e-001
43	 8.2031250000e-004	 6.91132e-001	 5.45713e-001
44	 8.3984375000e-004	 6.18448e-001	 7.10123e-001
45	 8.5937500000e-004	 4.10019e-001	 6.36492e-001
46	 8.7890625000e-004	 5.62096e-001	 4.06865e-001
47	 8.9843750000e-004	 6.59361e-001	 6.62606e-001
48	 9.1796875000e-004	 4.49655e-001	 5.66659e-001
49	 9.3750000000e-004	 5.89936e-001	 5.28952e-001
50	 9.5703125000e-004	 5.69029e-001	 5.58711e-001
51	 9.7656250000e-004	 5.91141e-001	 6.70132e-001
52	 9.9609375000e-004	 3.89610e-001	 5.93144e-001
53	 1.0156250000e-003	 5.42632e-001	 5.17568e-001
54	 1.0351562500e-003	 4.46654e-001	 5.90157e-001
55	 1.0546875000e-003	 4.60205e-001	 5.00262e-001
56	 1.0742187500e-003	 4.57593e-001	 4.28355e-001
57	 1.0937500000e-003	 6.65513e-001	 4.60312e-001
58	 1.1132812500e-003	 5.28334e-001	 6.30250e-001
59	 1.1328125000e-003	 5.04934e-001	 5.26992e-001
60	 1.1523437500e-003	 4.70222e-001	 5.15036e-001
61	 1.1718750000e-003	 5.93984e-001	 4.57530e-001
62	 1.1914062500e-003	 5.58824e-001	 5.73897e-001
63	 1.2109375000e-003	 5.92956e-001	 5.39503e-001
64	 1.2304687500e-003	 5.15542e-001	 6.15813e-001
65	 1.2500000000e-003	 5.83624e-001	 5.18902e-001
66	 1.2695312500e-003	 5.84201e-001	 6.85413e-001
67	 1.2890625000e-003	 4.87014e-001	 6.91554e-001
68	 1.3085937500e-003	 3.31252e-001	 6.46425e-001
69	 1.3281250000e-003	 4.47508e-001	 4.39264e-001
70	 1.3476562500e-003	 5.15081e-001	 5.53877e-001
71	 1.3671875000e-003	 5.87914e-001	 5.29233e-001
72	 1.3867187500e-003	 5.12395e-001	 7.30999e-001
73	 1.4062500000e-003	 4.57277e-001	 5.68324e-001
74	 1.4257812500e-003	 5.26063e-001	 7.54977e-001
75	 1.4453125000e-003	 2.68592e-001	 7.33248e-001
76	 1.4648437500e-003	 1.86441e-001	 5.08899e-001
77	 1.4843750000e-003	 4.53019e-001	 2.98786e-001
78	 1.5039062500e-003	 5.80466e-001	 5.78070e-001
79	 1.5234375000e-003	 5.00377e-001	 5.37239e-001
80	 1.5429687500e-003	 5.31020e-001	 7.07499e-001
81	 1.5625000000e-003	 3.64359e-001	 6.05694e-001
82	 1.5820312500e-003	 4.69802e-001	 6.32215e-001
83	 1.6015625000e-003	 4.03817e-001	 6.21269e-001
84	 1.6210937500e-003	 4.25312e-001	 7.36174e-001
85	 1.6406250000e-003	 1.90903e-001	 6.46221e-001
86	 1.6601562500e-003	 3.03126e-001	 4.96297e-001
87	 1.6796875000e-003	 3.45160e-001	 4.99554e-001
88	 1.6992187500e-003	 3.88683e-001	 5.53160e-001
89	 1.7187500000e-003	 3.04530e-001	 5.22285e-001
90	 1.7382812500e-003	 3.39618e-001	 4.77664e-001
91	 1.7578125000e-003	 3.65438e-001	 3.50517e-001
92	 1.7773437500e-003	 6.35863e-001	 4.38817e-001
93	 1.7968750000e-003	 5.08941e-001	 6.54639e-001
94	 1.8164062500e-003	 4.59167e-001	 5.78079e-001
95	 1.8359375000e-003	 5.08217e-001	 6.22858e-001
96	 1.8554687500e-003	 4.62070e-001	 7.52027e-001
97	 1.8750000000e-003	 2.58488e-001	 7.15358e-001
98	 1.8945312500e-003	 2.75636e-001	 5.78693e-001
99	 1.9140625000e-003	 2.66571e-001	 5.16468e-001
100	 1.9335937500e-003	 4.20988e-001	 4.47781e-001
101	 1.9531250000e-003	 4.31726e-001	 5.96159e-001
102	 1.9726562500e-003	 3.90380e-001	 5.47820e-001
103	 1.9921875000e-003	 4.19157e-001	 5.82008e-001
104	 2.0117187500e-003	 4.33255e-001	 5.66073e-001
105	 2.0312500000e-003	 4.28498e-001	 6.76053e-001
106	 2.0507812500e-003	 3.15881e-001	 5.90827e-001
107	 2.0703125000e-003	 4.42913e-001	 5.78841e-001
108	 2.0898437500e-003	 3.81085e-001	 6.53253e-001
109	 2.1093750000e-003	 3.80292e-001	 6.19414e-001
110	 2.1289062500e-003	 3.70099e-001	 6.10865e-001
111	 2.1484375000e-003	 4.46379e-001	 6.32414e-001
112	 2.1679687500e-003	 3.83224e-001	 7.29171e-001
113	 2.1875000000e-003	 3.34424e-001	 7.26361e-001
114	 2.2070312500e-003	 2.20777e-001	 7.16874e-001
115	 2.2265625000e-003	 2.19434e-001	 5.67471e-001
116	 2.2460937500e-003	 3.22746e-001	 5.30779e-001
117	 2.2656250000e-003	 3.91832e-001	 6.20253e-001
118	 2.2851562500e-003	 2.75759e-001	 6.24589e-001
119	 2.3046875000e-003	 3.89306e-001	 5.32635e-001
120	 2.3242187500e-003	 4.37811e-001	 6.52286e-001
121	 2.3437500000e-003	 4.23270e-001	 7.68141e-001
122	 2.3632812500e-003	 1.72594e-001	 7.69867e-001
123	 2.3828125000e-003	 2.92675e-001	 5.18827e-001
124	 2.4023437500e-003	 3.98555e-001	 6.74675e-001
125	 2.4218750000e-003	 4.12851e-001	 7.20784e-001
126	 2.4414062500e-003	 2.67956e-001	 8.95976e-001
127	 2.4609375000e-003	 1.40234e-001	 7.22328e-001
128	 2.4804687500e-003	 1.57706e-001	 7.08762e-001
